Word,Friend,Score
axel,axel,100
baba,baba,100
babi,babi,100
babok,babok,100
baby,baby,100
babyfon,babyfoon,93
bachant,bacchant,93
back,back,100
background,background,100
backhand,backhand,100
backslash,backslash,100
backslashe,backslashes,95
backspace,backspace,100
backup,back-up,92
badminton,badminton,100
bagno,bagno,100
baht,baht,100
baisse,baisse,100
bajer,banjer,91
bakan,bakpan,91
bakelit,bakeliet,93
baken,baken,100
bakier,bankier,92
baklava,baklava,100
balans,balans,100
balas,balans,91
balast,ballast,92
balata,balata,100
balerina,ballerina,94
balet,ballet,91
balkon,balkon,100
ballet,ballet,100
balneologia,balneologie,91
balon,balkon,91
balonfok,ballonfok,94
balsa,balsa,100
balustrada,balustrade,90
bama,bama,100
bambino,bambino,100
bambo,bamboe,91
banan,banaan,91
banat,banaat,91
band,band,100
bandera,bandera,100
banderilla,banderilla,100
bandleader,bandleider,90
bandoneon,bandoneon,100
baner,banger,91
banera,bandera,92
banjo,banjo,100
bank,bank,100
bankier,bankier,100
bankiet,bankiert,93
banking,banking,100
banque,banque,100
bant,bant,100
banta,bantam,91
banteng,banteng,100
baobab,baobab,100
bara,bara,100
barak,barak,100
baran,barman,91
barbecue,barbecue,100
barbie,barbier,92
barbiturat,barbituraat,95
bard,bard,100
barem,barema,91
baribal,baribal,100
barion,bariton,92
barium,barium,100
bark,bark,100
barka,barkas,91
barkas,barkas,100
barman,barman,100
barograf,barograaf,94
barok,barok,100
barometr,barometer,94
baron,baron,100
barrel,barrel,100
base,base,100
baseball,baseball,100
basen,basen,100
baset,baset,100
baskerville,baskerville,100
basket,basket,100
basset,basset,100
basso,basso,100
basta,basta,100
bastard,bastaard,93
bastion,bastion,100
batat,bataat,91
batik,batik,100
batman,batsman,92
baton,baton,100
battledress,battledress,100
baud,baud,100
bazar,bazaar,91
bazooka,bazooka,100
beagle,beagle,100
beat,beat,100
beatbox,beatbox,100
beatnik,beatnik,100
beau,beau,100
beaujolais,beaujolais,100
bebop,bebop,100
bedeker,bedenker,93
bedel,bedel,100
begonia,begonia,100
bekas,bekras,91
belcanto,belcanto,100
belg,belg,100
belladona,belladonna,95
belladonna,belladonna,100
belle,belle,100
belzebub,beëlzebub,100
belzebubi,beëlzebub,94
bemit,bemint,91
benchmark,benchmark,100
bene,bene,100
beneficium,beneficium,100
beneficjant,beneficiant,91
beneficjum,beneficium,90
bentonit,bentoniet,94
benzen,benzeen,92
benzol,benzol,100
berceuse,berceuse,100
berek,bereik,91
berest,bereist,92
beret,beroet,91
bernard,bernard,100
bestiarium,bestiarium,100
bestiariusz,bestiariums,91
bestseler,bestseller,95
bestseleru,bestseller,90
bestseller,bestseller,100
bestselleru,bestsellers,91
betel,betel,100
beton,beton,100
beurre,beurre,100
beurze,beurze,100
bezan,bezaan,91
bezik,bezink,91
bezok,bezoek,91
bias,bias,100
biatlon,biatlon,100
bibliobus,bibliobus,100
bibliofil,bibliofiel,95
bibliofilia,bibliofilie,91
bibliograf,bibliograaf,95
biblioman,bibliomaan,95
bibliomania,bibliomanie,91
biceps,biceps,100
bidet,bidet,100
bidon,bidon,100
biedermeier,biedermeier,100
biel,biel,100
biennale,biënnale,93
bier,bier,100
bierka,bierkan,92
bies,bies,100
bigot,bigot,100
bijak,bijvak,91
biker,biker,100
bikers,bikers,100
bikini,bikini,100
bilans,bilans,100
bilard,biljard,92
bilet,biljet,91
bilirubina,bilirubine,90
billboard,billboard,100
bima,bima,100
bimetal,bimetaal,93
bingo,bingo,100
biogen,biogeen,92
biograf,biograaf,93
biolog,biologe,92
biologia,biologica,94
biologica,biologica,100
biomasa,biomassa,93
bioreaktor,bioreactor,90
bios,bios,100
biosensor,biosensor,100
biotechnika,biotechniek,91
biotop,biotoop,92
birman,birmaan,92
biseks,biseks,100
bismilla,bismillah,94
bismillah,bismillah,100
bistr,bister,91
bistro,bistro,100
bitumen,bitumen,100
bizon,bizon,100
black,black,100
blackjack,blackjack,100
blackout,black-out,94
blade,bladen,91
blanc,blanco,91
blanche,blanche,100
blanco,blanco,100
blank,blank,100
blazer,blazer,100
blender,blender,100
bleu,bleu,100
blik,blik,100
blind,blind,100
blinddruk,blinddruk,100
blitzkrieg,blitzkrieg,100
bloc,bloc,100
blockbuster,blockbuster,100
blog,blog,100
bloger,blogger,92
blogger,blogger,100
blok,blok,100
blokdiagram,blokdiagram,100
bloker,blokker,92
blokers,blokkers,93
blond,blond,100
blue,blue,100
bluegrass,bluegrass,100
blues,blues,100
bluesman,bluesman,100
bobby,bobby,100
bober,bobber,91
bobo,bobo,100
bobtail,bobtail,100
bochen,bochten,92
bodega,bodega,100
bodhisattwa,bodhisattva,91
body,body,100
bodycheck,bodycheck,100
bodyguard,bodyguard,100
boeing,boeiing,92
bojar,bojaar,91
boks,boks,100
bokser,bokser,100
bolero,bolero,100
bolid,bolide,91
bolivar,bolivar,100
bolus,bolus,100
bomba,bombam,91
bombardier,bombardeer,90
bombardon,bombardon,100
bombast,bombast,100
bond,bond,100
bonet,bonket,91
bongo,bongo,100
boni,boni,100
bonjour,bonjour,100
bonnet,bonnet,100
bono,bono,100
bonsai,bonsai,100
bont,bont,100
bonus,bonus,100
boogie,boogie,100
book,book,100
bookmaker,bookmaker,100
boom,boom,100
booster,booster,100
boot,boot,100
bootleg,bootleg,100
bootsektor,bootsector,90
bordeaux,bordeaux,100
border,border,100
borg,borg,100
borsalino,borsalino,100
boston,boston,100
botox,botox,100
boules,boules,100
bourbon,bourbon,100
bourgeois,bourgeois,100
boutade,boutade,100
bowling,bowling,100
boxer,boxer,100
boys,boys,100
boysband,boysband,100
brach,bracht,91
brahman,brahmaan,93
brak,brak,100
bram,bram,100
brama,bramra,91
brand,brand,100
brander,brander,100
branding,branding,100
brandmur,brandmuur,94
brandy,brandy,100
branie,branie,100
brankardier,brancardier,91
bras,bras,100
brasse,brassen,92
brasserie,brasserie,100
brat,brat,100
bravissimo,bravissimo,100
bravo,bravo,100
break,break,100
breakdance,breakdance,100
breakdansie,breakdansen,91
breakpoint,breakpoint,100
breve,breve,100
bridge,bridge,100
brie,brie,100
brief,brief,100
briefing,briefing,100
brio,brio,100
brok,brok,100
brokat,brokaat,92
broker,broker,100
brom,brom,100
bromber,brombeer,93
bromelia,bromelia,100
browning,browning,100
browser,browser,100
brudek,brugdek,92
brunch,brunch,100
brunche,brunchen,93
brunette,brunette,100
bruschetta,bruschetta,100
brut,brut,100
brutal,brutaal,92
bubel,bubbel,91
buckskin,buckskin,100
budo,budo,100
bufet,buffet,91
buggy,buggy,100
building,building,100
buks,buks,100
bulder,bulder,100
buldog,buldog,100
bungalow,bungalow,100
bunker,bunker,100
bunraku,bunraku,100
burger,burger,100
burito,burrito,92
burnout,burn-out,93
burrito,burrito,100
bursa,bursa,100
business,business,100
buster,bulster,92
butan,butaan,91
buten,buten,100
butler,butler,100
buton,button,91
button,button,100
buzer,buzzer,91
bypass,bypass,100
cabas,cabans,91
cabernet,cabernet,100
cabrio,cabrio,100
cache,cache,100
cachet,cachet,100
caddie,caddie,100
caddies,caddies,100
cadet,cadet,100
cake,cake,100
cakewalk,cakewalk,100
calcium,calcium,100
calendarium,calendarium,100
call,call,100
calvados,calvados,100
calypso,calypso,100
cambio,cambio,100
camel,camel,100
camembert,camembert,100
camembertu,camemberts,90
camer,camber,91
camera,camera,100
camp,camp,100
camping,camping,100
campus,campus,100
canasta,canasta,100
cannabis,cannabis,100
cannelloni,cannelloni,100
canon,canon,100
cantabile,cantabile,100
canto,canto,100
canzonetta,canzonetta,100
capita,capita,100
capoeira,capoeira,100
cappuccino,cappuccino,100
capriccio,capriccio,100
caps,caps,100
caravan,caravan,100
carcinogen,carcinogeen,95
cardigan,cardigan,100
cargo,cargo,100
carillon,carillon,100
caritas,caritas,100
carne,carne,100
carol,carbol,91
carpaccio,carpaccio,100
carry,carry,100
carte,carte,100
cartridge,cartridge,100
casanova,casanova,100
casco,casco,100
case,case,100
cash,cash,100
casio,casino,91
cassata,cassata,100
cassate,cassatie,93
cassis,cassis,100
cassoulet,cassoulet,100
casting,casting,100
castrum,castrum,100
casus,casus,100
catch,catch,100
catche,catcher,92
catenaccio,catenaccio,100
catering,catering,100
cathedra,cathedra,100
cauda,cauda,100
caudillo,caudillo,100
caule,canule,91
causa,causa,100
causeur,causeur,100
cayenne,cayenne,100
celebrant,celebrant,100
celebrities,celebraties,91
celebrity,celebrity,100
celesta,celesta,100
celibat,celibaat,93
cellit,cellist,92
cello,cello,100
cellulitis,cellulitis,100
celon,ceylon,91
celuloid,celluloid,94
cembalo,cembalo,100
cement,cement,100
cenotaf,cenotaaf,93
cent,cent,100
centaur,centaur,100
center,center,100
centr,center,91
centra,centra,100
centromer,centromeer,95
centrum,centrum,100
centurion,centurion,100
ceramik,ceramiek,93
cetera,cetera,100
ceteris,ceteris,100
chablis,chablis,100
chaconne,chaconne,100
chalcedon,chalcedon,100
challenger,challengers,95
chamade,chamade,100
changeant,changeant,100
chanson,chanson,100
chansonnier,chansonnier,100
chansons,chansons,100
chant,chant,100
chaos,chaos,100
chaperon,chaperon,100
chappe,chappe,100
chaps,chapes,91
chara,chakra,91
charade,charade,100
chardonnay,chardonnay,100
charleston,charleston,100
charmant,charmant,100
charme,charme,100
charmeur,charmeur,100
chart,charta,91
charter,charter,100
chartreuse,chartreuse,100
chassis,chassis,100
chat,chat,100
chata,charta,91
chatroom,chatroom,100
checkpoint,checkpoint,100
cheddar,cheddar,100
cheder,cheider,92
cheerleader,cheerleader,100
cherub,cherub,100
cherubin,cherubijn,94
chester,chester,100
cheviot,cheviot,100
chevreau,chevreau,100
chianti,chianti,100
chiasm,chiasma,92
chief,chiefs,91
chihuahua,chihuahua,100
chili,chili,100
chimera,chimaera,93
chinoiserie,chinoiserie,100
chinon,chignon,92
chinook,chinook,100
